Id,SalePrice,OverallQual,ExterQual,GarageCars,YearBuilt,YearRemodAdd,KitchenQual,Foundation,HalfBath,GrLivArea,BsmtQual,LotArea,FullBath,TotRmsAbvGrd
1,208500,7,Gd,2,2003,2003,Gd,PConc,1,1710,Gd,8450,2,8
2,181500,6,TA,2,1976,1976,TA,CBlock,0,1262,Gd,9600,2,6
3,223500,7,Gd,2,2001,2002,Gd,PConc,1,1786,Gd,11250,2,6
4,140000,7,TA,3,1915,1970,Gd,BrkTil,0,1717,TA,9550,1,7
5,250000,8,Gd,3,2000,2000,Gd,PConc,1,2198,Gd,14260,2,9
6,143000,5,TA,2,1993,1995,TA,Wood,1,1362,Gd,14115,1,5
7,307000,8,Gd,2,2004,2005,Gd,PConc,0,1694,Ex,10084,2,7
8,200000,7,TA,2,1973,1973,TA,CBlock,1,2090,Gd,10382,2,7
9,129900,7,TA,2,1931,1950,TA,BrkTil,0,1774,TA,6120,2,8
10,118000,5,TA,1,1939,1950,TA,BrkTil,0,1077,TA,7420,1,5
11,129500,5,TA,1,1965,1965,TA,CBlock,0,1040,TA,11200,1,5
12,345000,9,Ex,3,2005,2006,Ex,PConc,0,2324,Ex,11924,3,11
13,144000,5,TA,1,1962,1962,TA,CBlock,0,912,TA,12968,1,4
14,279500,7,Gd,3,2006,2007,Gd,PConc,0,1494,Gd,10652,2,7
15,157000,6,TA,1,1960,1960,TA,CBlock,1,1253,TA,10920,1,5
16,132000,7,TA,2,1929,2001,TA,BrkTil,0,854,TA,6120,1,5
17,149000,6,TA,2,1970,1970,TA,CBlock,0,1004,TA,11241,1,5
19,159000,5,TA,2,2004,2004,Gd,PConc,1,1114,TA,13695,1,6
20,139000,5,TA,1,1958,1965,TA,CBlock,0,1339,TA,7560,1,6
21,325300,8,Gd,3,2005,2006,Gd,PConc,1,2376,Ex,14215,3,9
22,139400,7,TA,1,1930,1950,Gd,PConc,0,1108,TA,7449,1,6
23,230000,8,Gd,2,2002,2002,Gd,PConc,0,1795,Gd,9742,2,7
24,129900,5,TA,2,1976,1976,TA,PConc,0,1060,Gd,4224,1,6
25,154000,5,TA,1,1968,2001,Gd,CBlock,0,1060,TA,8246,1,6
26,256300,8,Gd,3,2007,2007,Gd,PConc,0,1600,Gd,14230,2,7
27,134800,5,TA,2,1951,2000,Gd,CBlock,0,900,TA,7200,1,5
28,306000,8,Gd,3,2007,2008,Gd,PConc,0,1704,Ex,11478,2,7
29,207500,5,TA,1,1957,1997,TA,CBlock,0,1600,TA,16321,1,6
30,68500,4,TA,1,1927,1950,Fa,BrkTil,0,520,TA,6324,1,4
31,40000,4,TA,1,1920,1950,TA,BrkTil,0,1317,TA,8500,1,6
32,149350,5,TA,1,1966,2006,Gd,CBlock,1,1228,TA,8544,1,6
33,179900,8,Gd,2,2007,2007,Gd,PConc,0,1234,Ex,11049,2,7
34,165500,5,TA,2,1959,1959,Gd,CBlock,1,1700,TA,10552,1,6
35,277500,9,Ex,2,2005,2005,Ex,PConc,0,1561,Ex,7313,2,6
36,309000,8,Gd,3,2004,2005,Gd,PConc,1,2452,Ex,13418,3,9
37,145000,5,TA,2,1994,1995,TA,PConc,1,1097,Gd,10859,1,6
38,153000,5,TA,2,1954,1990,TA,CBlock,0,1297,TA,8532,1,5
39,109000,5,TA,1,1953,2007,Gd,CBlock,0,1057,TA,7922,1,5
41,160000,6,TA,2,1965,1965,TA,CBlock,0,1324,TA,8658,2,6
42,170000,5,TA,1,1959,1959,TA,CBlock,1,1328,TA,16905,1,5
43,144000,5,TA,2,1983,1983,Gd,CBlock,0,884,Gd,9180,1,5
44,130250,5,TA,1,1975,1980,TA,CBlock,0,938,Gd,9200,1,5
45,141000,5,TA,1,1959,1959,TA,CBlock,0,1150,TA,7945,1,6
46,319900,9,Ex,2,2005,2005,Ex,PConc,0,1752,Ex,7658,2,6
47,239686,7,Gd,2,2003,2003,Gd,PConc,1,2149,Ex,12822,1,6
48,249700,8,Gd,3,2006,2006,Gd,PConc,0,1656,Gd,11096,2,7
49,113000,4,TA,0,1920,2008,TA,BrkTil,0,1452,TA,4456,2,8
50,127000,5,TA,1,1966,1966,TA,CBlock,0,955,TA,7742,1,6
51,177000,6,TA,2,1997,1997,TA,PConc,0,1470,Gd,13869,2,6
52,114500,6,TA,2,1934,1950,TA,PConc,0,1176,TA,6240,1,6
53,110000,5,Fa,2,1963,1963,TA,CBlock,0,816,Gd,8472,1,5
54,385000,9,Gd,3,1981,1987,Gd,CBlock,1,1842,Ex,50271,0,5
55,130000,5,TA,2,1955,1955,TA,CBlock,0,1360,TA,7134,1,6
56,180500,6,TA,2,1964,1964,TA,CBlock,0,1425,TA,10175,2,7
57,172500,8,Gd,2,1999,2000,Gd,PConc,1,1739,Gd,2645,2,7
58,196500,7,Gd,2,2004,2004,Gd,PConc,1,1720,Gd,11645,2,7
59,438780,10,Ex,3,2006,2006,Gd,PConc,1,2945,Ex,13682,3,10
60,124900,5,TA,1,1972,1972,TA,CBlock,0,780,TA,7200,1,4
61,158000,6,TA,2,2004,2004,Gd,PConc,1,1158,Gd,13072,1,5
62,101000,5,TA,1,1920,1996,Fa,BrkTil,0,1111,TA,7200,1,6
63,202500,8,Gd,2,2006,2006,Gd,PConc,0,1370,Gd,6442,2,6
64,140000,7,TA,2,1921,1950,TA,BrkTil,0,1710,TA,10300,2,9
65,219500,7,TA,2,1997,1998,Gd,PConc,1,2034,Gd,9375,2,8
66,317000,8,Gd,3,2004,2005,Gd,PConc,1,2473,Ex,9591,2,9
67,180000,7,TA,2,1970,1989,TA,CBlock,0,2207,Gd,19900,2,7
68,226000,7,Gd,2,2003,2003,Gd,PConc,0,1479,Gd,10665,2,7
69,80000,4,TA,1,1945,1950,TA,CBlock,0,747,TA,4608,1,4
70,225000,7,Gd,2,1953,1953,TA,CBlock,0,2287,TA,15593,2,7
71,244000,7,TA,2,1973,1973,TA,CBlock,0,2223,Gd,13651,2,8
72,129500,4,TA,2,1982,2006,TA,CBlock,0,845,TA,7599,1,4
73,185000,7,TA,2,1998,1998,TA,PConc,1,1718,Gd,10141,2,7
74,144900,5,TA,2,1954,2003,TA,CBlock,0,1086,TA,10200,1,6
75,107400,3,Gd,1,1915,1950,TA,CBlock,0,1605,Fa,5790,2,8
76,91000,4,TA,1,1973,1973,TA,CBlock,0,988,Gd,1596,1,5
77,135750,4,TA,1,1956,1956,TA,CBlock,0,952,TA,8475,1,4
78,127000,5,TA,1,1948,2001,TA,CBlock,0,1285,TA,8635,1,6
79,136500,4,TA,0,1968,1968,TA,CBlock,0,1768,TA,10778,2,8
80,110000,5,TA,2,1910,1981,TA,PConc,1,1230,TA,10440,1,5
81,193500,6,TA,1,1968,1968,Gd,CBlock,1,2142,Gd,13000,2,8
82,153500,6,TA,2,1998,1998,TA,PConc,0,1337,Ex,4500,2,5
83,245000,8,TA,3,2007,2007,Gd,PConc,0,1563,Gd,10206,2,6
84,126500,5,TA,2,1960,1960,TA,CBlock,1,1065,TA,8892,1,6
85,168500,7,TA,2,1995,1996,TA,PConc,1,1474,Gd,8530,2,7
86,260000,8,Gd,2,1991,1992,Gd,CBlock,1,2417,Gd,16059,2,9
87,174000,6,Gd,2,2005,2005,Gd,PConc,1,1560,Gd,11911,2,6
88,164500,6,Gd,2,2009,2009,Gd,PConc,1,1224,Gd,3951,2,4
89,85000,3,Fa,0,1915,1982,Fa,CBlock,0,1526,TA,8470,1,6
90,123600,4,TA,0,1994,1995,TA,PConc,0,990,Gd,8070,1,5
92,98600,5,TA,2,1961,1961,TA,CBlock,0,1235,TA,8500,1,6
93,163500,5,TA,2,1921,2006,TA,BrkTil,0,964,Gd,13360,1,5
94,133900,6,TA,2,1910,1998,TA,BrkTil,0,2291,TA,7200,2,9
95,204750,6,TA,2,1997,1997,Gd,PConc,1,1786,Gd,9337,2,7
96,185000,6,Ex,2,1993,1993,TA,PConc,1,1470,Gd,9765,2,6
97,214000,7,Gd,2,1999,1999,Gd,PConc,0,1588,Gd,10264,2,6
98,94750,4,TA,1,1965,1965,TA,CBlock,0,960,TA,10921,1,6
99,83000,5,TA,1,1920,1950,TA,BrkTil,0,835,TA,10625,1,5
100,128950,4,TA,0,1959,1959,TA,CBlock,1,1225,TA,9320,1,6
101,205000,6,TA,2,1977,2001,Gd,PConc,0,1610,TA,10603,2,6
102,178000,6,Gd,2,1985,1985,Gd,CBlock,1,1732,Gd,9206,2,7
104,198900,7,TA,3,2009,2009,Gd,PConc,0,1226,Gd,10402,2,6
105,169500,7,TA,1,1931,1950,TA,PConc,1,1818,TA,7758,1,7
106,250000,8,Gd,2,2003,2004,Gd,PConc,1,1992,Ex,9375,2,9
107,100000,4,TA,1,1885,1995,TA,BrkTil,0,1047,Fa,10800,1,6
108,115000,5,TA,1,1948,1950,TA,CBlock,0,789,TA,6000,1,5
109,115000,5,TA,0,1919,2005,Fa,CBlock,0,1517,TA,8500,2,7
110,190000,6,TA,2,1977,1977,TA,CBlock,0,1844,Gd,11751,2,7
111,136900,6,TA,1,1954,1972,TA,CBlock,0,1855,TA,9525,2,7
112,180000,7,TA,2,2000,2000,TA,PConc,1,1430,Gd,7750,2,7
113,383970,7,Gd,3,2007,2007,Ex,PConc,1,2696,Ex,9965,2,10
114,217000,6,TA,2,1953,1953,Gd,CBlock,0,2259,Gd,21000,2,7
115,259500,6,TA,1,1945,2002,Gd,CBlock,1,2320,TA,7259,2,9
116,176000,6,TA,2,1999,1999,TA,PConc,1,1458,Gd,3230,2,5
117,139000,5,TA,1,1962,1962,TA,CBlock,0,1092,TA,11616,1,6
118,155000,5,TA,2,2006,2007,TA,PConc,1,1125,Gd,8536,1,5
119,320000,7,TA,3,1990,1990,Gd,PConc,0,3222,Gd,12376,3,11
120,163990,6,Gd,2,2005,2006,Gd,PConc,1,1456,Gd,8461,2,8
121,180000,6,TA,2,1969,1969,TA,CBlock,0,988,TA,21453,1,4
122,100000,4,TA,1,1939,1950,TA,PConc,0,1123,TA,6060,1,4
123,136000,6,TA,1,1958,1958,TA,CBlock,0,1080,TA,9464,1,5
124,153900,6,Gd,2,1993,1993,Gd,PConc,0,1199,Gd,7892,2,5
125,181000,6,TA,2,1979,1998,TA,CBlock,0,1586,Gd,17043,2,7
126,84500,6,TA,0,1935,1982,TA,CBlock,0,754,TA,6780,1,5
127,128000,6,TA,2,1976,1976,TA,CBlock,0,958,Gd,4928,2,5
128,87000,5,TA,0,1930,1950,TA,BrkTil,0,840,TA,4388,1,5
129,155000,6,TA,2,1966,1966,TA,CBlock,1,1348,TA,7590,1,6
130,150000,5,TA,2,1958,1991,Ex,CBlock,1,1053,TA,8973,1,6
131,226000,7,TA,2,1966,1966,Gd,CBlock,1,2157,TA,14200,2,8
132,244000,6,Gd,2,2000,2000,Gd,PConc,1,2054,Gd,12224,2,7
133,150750,5,TA,2,1959,2002,Gd,CBlock,0,1327,TA,7388,1,7
134,220000,8,Gd,2,2001,2002,Gd,PConc,0,1296,Ex,6853,2,6
135,180000,5,TA,2,1968,1993,TA,CBlock,1,1721,TA,10335,2,7
136,174000,7,TA,2,1970,1970,TA,PConc,0,1682,TA,10400,2,7
137,143000,5,TA,1,1967,1967,TA,CBlock,0,1214,TA,10355,2,5
138,171000,7,TA,3,1988,1989,TA,CBlock,0,1959,TA,11070,3,9
139,230000,8,Gd,3,1999,2000,Gd,PConc,1,1852,Gd,9066,2,7
140,231500,6,TA,2,1997,1997,Gd,PConc,1,1764,Gd,15426,2,7
141,115000,4,TA,0,1971,1971,TA,CBlock,0,864,TA,10500,1,5
142,260000,7,Gd,2,2005,2005,Gd,PConc,0,1734,Gd,11645,2,7
143,166000,5,TA,2,1952,1952,TA,CBlock,0,1385,TA,8520,2,6
144,204000,7,Gd,2,1999,1999,Gd,PConc,0,1501,Gd,10335,2,6
145,125000,5,TA,2,1963,1963,TA,CBlock,0,1728,TA,9100,2,10
146,130000,6,Gd,2,2004,2006,Gd,PConc,0,1709,Gd,2522,2,7
147,105000,5,TA,1,1931,1993,TA,BrkTil,0,875,TA,6120,1,5
148,222500,7,Gd,2,2001,2001,Gd,PConc,1,2035,Gd,9505,2,8
149,141000,7,TA,0,2004,2005,Gd,PConc,0,1080,Gd,7500,1,6
150,115000,5,TA,1,1936,1950,TA,BrkTil,0,1344,Gd,6240,1,7
151,122000,5,TA,2,1975,1975,TA,CBlock,1,969,TA,10356,1,5
152,372402,8,Gd,3,2007,2008,Gd,PConc,0,1710,Ex,13891,2,6
153,190000,6,TA,2,1971,1971,TA,CBlock,1,1993,TA,14803,2,8
154,235000,6,TA,2,1960,1975,TA,CBlock,0,1252,Gd,13500,1,4
155,125000,6,TA,1,1923,1950,TA,BrkTil,0,1200,TA,11340,1,7
156,79000,6,TA,0,1924,1950,TA,BrkTil,0,1096,TA,9600,1,5
158,269500,8,Gd,3,2009,2010,Ex,PConc,1,1968,Ex,12003,2,8
159,254900,7,Gd,2,2004,2005,Gd,PConc,1,1947,Gd,12552,2,8
160,320000,7,Gd,2,2005,2006,Gd,PConc,1,2462,Gd,19378,2,9
161,162500,6,TA,2,1984,1984,TA,PConc,0,1232,Gd,11120,2,6
162,412500,9,Gd,3,2003,2004,Ex,PConc,1,2668,Ex,13688,2,10
163,220000,7,Gd,2,2005,2005,Gd,PConc,0,1541,Gd,12182,2,7
164,103200,4,TA,0,1956,1956,TA,CBlock,0,882,TA,5500,1,4
165,152000,6,TA,1,1926,2004,Gd,BrkTil,0,1616,TA,5400,2,5
166,127500,5,TA,0,1940,1999,TA,BrkTil,0,1355,TA,10106,2,6
167,190000,5,Gd,1,1955,1993,TA,CBlock,0,1867,TA,10708,1,7
168,325624,8,Gd,3,2007,2007,Ex,PConc,1,2161,Ex,10562,1,8
169,183500,7,Gd,2,2004,2004,Gd,PConc,1,1720,Gd,8244,2,7
170,228000,8,Gd,2,1981,1981,TA,CBlock,1,1707,Gd,16669,2,6
171,128500,5,TA,2,1941,1950,TA,CBlock,1,1382,TA,12358,1,7
172,215000,6,TA,2,1960,1960,TA,CBlock,0,1656,TA,31770,1,7
173,239000,7,Gd,2,1987,1987,Gd,PConc,0,1767,Gd,5306,2,5
174,163000,6,TA,2,1961,1961,TA,CBlock,1,1362,TA,10197,1,6
175,184000,6,TA,2,1986,1986,TA,CBlock,0,1651,Gd,12416,2,7
176,243000,6,TA,2,1950,2001,Gd,CBlock,0,2158,TA,12615,2,7
177,211000,6,Gd,2,1988,1989,TA,PConc,1,2060,Gd,10029,2,8
178,172500,5,Gd,2,1958,1958,Gd,CBlock,0,1920,TA,13650,2,8
179,501837,9,Ex,3,2008,2009,Ex,PConc,0,2234,Ex,17423,2,9
180,100000,5,Gd,2,1923,2006,TA,CBlock,0,968,TA,8520,1,5
181,177000,6,Gd,2,2000,2000,Gd,PConc,1,1525,Gd,2117,2,5
182,200100,7,TA,1,1920,1950,TA,BrkTil,1,1802,Fa,7588,1,9
184,200000,7,TA,2,2003,2003,Gd,PConc,1,2082,Gd,11426,2,6
185,127000,5,TA,2,1908,1991,TA,PConc,0,1252,Fa,7438,1,5
186,475000,10,Gd,3,1892,1993,Ex,BrkTil,1,3608,TA,22950,2,12
187,173000,7,TA,2,1990,1991,Gd,PConc,0,1217,Gd,9947,2,6
188,135000,5,TA,1,1916,1987,TA,CBlock,1,1656,Fa,10410,2,8
189,153337,5,TA,2,1979,1979,TA,CBlock,2,1224,Gd,7018,0,6
190,286000,8,Gd,2,2001,2002,Ex,PConc,1,1593,Ex,4923,1,5
191,315000,8,Gd,2,1932,1994,Gd,CBlock,1,2727,Gd,10570,2,10
192,184000,7,TA,2,1972,2004,Gd,CBlock,1,1479,TA,7472,1,7
193,192000,7,Gd,2,1999,1999,Gd,PConc,0,1431,Gd,9017,2,6
194,130000,7,Gd,2,2004,2004,Gd,PConc,0,1709,Gd,2522,2,7
195,127000,5,TA,1,1972,1972,TA,CBlock,0,864,TA,7180,1,5
196,148500,6,TA,2,1976,1976,TA,CBlock,1,1456,Gd,2280,2,7
197,311872,7,Ex,3,2007,2007,Ex,PConc,0,1726,Ex,9416,2,8
198,235000,8,Gd,2,1918,1990,Gd,PConc,0,3112,TA,25419,2,8
199,104000,6,TA,0,1912,1950,TA,CBlock,0,2229,TA,5520,1,8
200,274900,8,Gd,3,2004,2005,Ex,PConc,0,1713,Ex,9591,2,7
201,140000,4,TA,2,2003,2004,TA,PConc,0,1121,Gd,8546,2,5
202,171500,6,TA,2,1977,1977,TA,CBlock,0,1279,TA,10125,2,6
203,112000,6,TA,1,1924,1950,TA,BrkTil,0,1310,Fa,7000,2,6
204,149000,6,Gd,2,2004,2004,Gd,PConc,0,848,Gd,4438,1,3
205,110000,5,TA,1,1947,1950,TA,CBlock,1,1284,TA,3500,1,5
206,180500,7,TA,2,1990,1990,TA,PConc,0,1442,Gd,11851,2,5
207,143900,5,TA,1,1962,1962,TA,CBlock,1,1696,TA,13673,1,8
208,141000,4,TA,1,1960,1960,TA,PConc,0,1100,TA,12493,1,6
209,277000,7,Gd,2,1988,1989,TA,CBlock,1,2062,Gd,14364,2,7
210,145000,6,TA,2,1964,1964,TA,CBlock,0,1092,Gd,8250,1,6
211,98000,5,TA,0,1925,1950,TA,CBlock,0,864,TA,5604,1,5
212,186000,6,TA,2,2009,2009,Gd,PConc,0,1212,Gd,10420,2,6
213,252678,7,TA,2,2009,2009,Gd,PConc,1,1852,Gd,8640,2,7
214,156000,5,TA,2,1995,1995,TA,PConc,0,990,Gd,13568,1,5
215,161750,6,TA,1,1977,1977,TA,CBlock,1,1392,Gd,10900,1,6
216,134450,5,TA,1,1957,1996,Gd,CBlock,0,1236,TA,10011,1,6
217,210000,7,Gd,2,2004,2004,Gd,PConc,0,1436,Gd,8450,2,8
218,107000,4,TA,1,1925,1950,TA,CBlock,0,1328,TA,9906,1,8
219,311500,7,Gd,2,1939,2006,Gd,CBlock,1,1954,TA,15660,1,8
220,167240,7,Gd,2,2005,2006,Gd,PConc,0,1248,Gd,3010,2,5
221,204900,7,Gd,2,2006,2006,Gd,PConc,0,1498,Gd,8990,2,5
222,200000,6,Gd,2,2002,2002,Gd,PConc,1,2267,Gd,8068,2,8
223,179900,6,TA,2,1975,1975,TA,CBlock,1,1552,Gd,11475,2,6
224,97000,4,TA,2,1971,1971,TA,CBlock,0,864,TA,10500,1,4
225,386250,10,Ex,3,2003,2003,Ex,PConc,0,2392,Ex,13472,2,8
226,112000,5,TA,1,1971,1971,TA,CBlock,1,1302,TA,1680,2,6
227,290000,7,Gd,3,1995,1995,Gd,PConc,1,2520,Gd,9950,2,9
228,106000,6,TA,1,1970,1970,TA,CBlock,1,987,TA,1869,1,5
229,125000,5,TA,1,1967,1967,TA,CBlock,0,912,TA,8521,1,5
230,192500,7,Gd,2,2005,2006,Gd,PConc,0,1555,Gd,3182,2,7
231,148000,6,TA,1,1959,1959,TA,CBlock,0,1194,TA,8760,1,6
232,403000,8,Gd,3,1995,1996,Ex,PConc,1,2794,Gd,15138,2,9
233,94500,6,TA,1,1972,1972,TA,CBlock,1,987,TA,1680,1,5
234,128200,5,TA,1,1976,1976,TA,CBlock,0,894,TA,10650,1,5
235,216500,6,Gd,2,2002,2002,Gd,PConc,1,1960,Gd,7851,2,8
236,89500,6,TA,1,1971,1971,TA,CBlock,1,987,TA,1680,1,5
237,185500,7,Gd,2,2004,2004,Gd,PConc,0,1414,Gd,8773,2,6
238,194500,7,Gd,2,1993,2003,Gd,PConc,1,1744,Gd,9453,2,7
239,318000,8,Ex,3,2007,2007,Gd,PConc,0,1694,Ex,12030,2,7
240,113000,6,TA,1,1945,1950,TA,CBlock,1,1487,TA,8741,1,7
241,262500,8,Gd,2,2008,2008,Gd,PConc,0,1566,Gd,9000,2,7
242,110500,5,TA,0,1945,1997,Gd,CBlock,0,866,TA,3880,1,4
243,79000,5,TA,1,1900,1950,TA,BrkTil,0,1440,TA,5000,1,6
244,120000,6,TA,1,1980,1980,TA,CBlock,1,1217,Gd,10762,1,6
245,205000,7,Gd,2,1994,2002,Gd,PConc,1,2110,Gd,8880,2,8
246,241500,7,TA,2,1988,1988,TA,CBlock,0,1872,Gd,10400,2,6
247,137000,6,TA,1,1910,1950,Fa,Stone,0,1928,Fa,9142,2,9
248,140000,6,TA,2,1954,1954,TA,CBlock,0,1375,TA,11310,1,5
249,180000,7,Gd,2,2003,2003,Gd,PConc,1,1668,Gd,11317,2,8
250,277000,6,Gd,2,1958,2006,Gd,CBlock,0,2144,Gd,159000,2,7
251,76500,3,TA,0,1940,1966,Fa,CBlock,0,1306,TA,5350,1,6
252,235000,8,Gd,2,2006,2007,Gd,PConc,0,1625,Gd,4750,2,5
253,173000,6,Gd,2,2004,2004,Gd,PConc,1,1640,Gd,8366,2,6
254,158000,6,TA,1,1964,1991,Gd,CBlock,0,1302,Gd,9350,2,7
255,145000,5,TA,1,1957,1957,TA,CBlock,0,1314,TA,8400,1,5
256,230000,7,Gd,2,1999,1999,Gd,PConc,1,2291,Gd,8738,2,8
257,207500,6,Gd,2,2003,2003,Gd,PConc,1,1728,Gd,8791,2,7
258,220000,7,Gd,2,2006,2006,Gd,PConc,1,1604,Gd,8814,2,8
259,231500,7,Gd,2,2001,2001,Gd,PConc,1,1792,Gd,12435,2,7
261,176000,6,TA,2,1962,1962,TA,CBlock,0,1382,TA,19296,1,6
262,276000,8,Gd,3,2007,2007,Ex,PConc,1,2574,Ex,9588,2,10
263,151000,6,TA,2,1977,1995,TA,CBlock,0,1212,Gd,8471,1,6
264,130000,5,TA,2,1929,2001,TA,BrkTil,0,1316,TA,5500,1,6
265,73000,5,TA,2,1925,2004,TA,BrkTil,0,764,Fa,5232,1,4
266,175500,6,TA,2,1981,1981,Gd,CBlock,0,1422,Gd,12090,2,7
267,185000,6,TA,2,1997,1997,TA,PConc,1,1511,Gd,11207,2,8
268,179500,5,TA,1,1939,1997,Gd,PConc,1,2192,TA,8400,2,8
269,120500,5,TA,1,1940,1955,TA,CBlock,0,778,TA,6900,1,4
270,148000,6,TA,1,1976,1976,TA,CBlock,1,1113,TA,7917,1,6
271,266000,8,Gd,3,2006,2006,Gd,PConc,1,1939,Gd,10728,2,8
272,241500,7,TA,2,1954,2005,TA,CBlock,0,1363,Gd,39104,1,5
273,290000,8,Gd,3,1999,2007,Gd,PConc,1,2270,Gd,11764,2,9
274,139000,6,TA,1,1958,1988,TA,CBlock,0,1632,TA,9600,2,6
275,124500,5,TA,1,1982,1982,TA,CBlock,0,816,TA,8314,1,5
276,205000,7,Gd,2,1925,2007,Ex,BrkTil,1,1548,TA,7264,2,5
277,201000,7,Gd,2,2003,2003,Gd,PConc,0,1560,Ex,9196,2,7
278,141000,4,TA,2,1951,1951,TA,CBlock,0,864,TA,19138,1,4
279,415298,9,Ex,3,2006,2007,Ex,PConc,1,2121,Ex,14450,2,8
280,192000,7,TA,2,1977,1977,TA,CBlock,1,2022,Gd,10005,2,8
281,228500,7,Gd,2,1989,1989,Gd,CBlock,1,1982,Gd,11287,2,7
282,185000,6,Gd,2,2006,2006,Gd,PConc,0,1262,Gd,7200,2,5
283,207500,7,Gd,2,2007,2008,Gd,PConc,0,1314,Gd,5063,2,6
284,244600,8,Gd,3,2008,2009,Gd,PConc,0,1468,Gd,9612,2,6
285,179200,6,Gd,2,1992,1992,Gd,PConc,0,1575,Gd,8012,2,5
286,164700,7,Gd,2,2006,2007,Gd,PConc,1,1250,Gd,4251,2,5
287,159000,6,TA,2,1962,1981,Gd,CBlock,1,1734,TA,9786,1,7
288,88000,4,TA,0,1971,1971,TA,CBlock,0,858,TA,8125,1,5
289,122000,5,TA,1,1967,1967,TA,CBlock,0,900,TA,9819,1,5
290,153575,6,TA,1,1915,2003,TA,BrkTil,0,1396,TA,8730,1,7
291,233230,8,Gd,2,2006,2006,Gd,PConc,1,1919,Gd,15611,2,8
292,135900,5,TA,0,1912,2000,Fa,PConc,0,1716,TA,5687,2,9
